Date,open,high,low,close,volume
1999-12-31,64.6875,65.375,64.0625,65.0625,136600
2000-01-03,64.3125,64.4375,61.6875,61.8125,294400
2000-01-04,61.5625,62.1875,58.9375,59.4375,472600
2000-01-05,59.4375,60.8125,59.3125,60.3125,419500
2000-01-06,60.1875,61.625,59.6875,60.8125,266600
2000-01-07,60.9375,61.5625,60.375,61.0,298400
2000-01-10,61.25,62.6875,61.125,61.75,212700
2000-01-11,62.0,64.5625,62.0,64.0,309500
2000-01-12,63.75,63.8125,61.75,61.75,357100
2000-01-13,62.0,62.25,61.25,61.4375,174500
2000-01-14,61.5,62.1875,61.125,61.1875,239500
2000-01-18,60.0,60.3125,59.25,59.3125,233500
2000-01-19,61.5,63.1875,59.625,59.625,548000
2000-01-20,59.875,60.5625,59.125,59.5,471900
2000-01-21,56.0,58.0,52.25,57.5,2453200
2000-01-24,57.75,59.9375,57.375,57.9375,894400
2000-01-25,57.9375,58.375,51.75,53.625,1122600
2000-01-26,55.0625,59.9375,55.0,59.875,920900
2000-01-27,59.625,60.25,56.4375,56.6875,895100
2000-01-28,55.375,58.5625,55.375,56.75,375500
2000-01-31,56.5,58.75,56.25,58.25,391500
2000-02-01,58.25,60.4375,58.25,59.6875,531500
2000-02-02,59.4375,59.5,57.5625,57.625,468300
2000-02-03,57.5625,58.25,57.0625,57.5625,355000
2000-02-04,57.8125,58.1875,56.3125,56.375,300100
2000-02-07,56.375,57.25,55.0,55.5625,495300
2000-02-08,55.8125,56.1875,54.375,54.375,372300
2000-02-09,55.0625,55.375,54.6875,54.9375,355200
2000-02-10,55.0,55.4375,54.125,54.375,288900
2000-02-11,54.9375,55.375,52.625,52.75,253400
2000-02-14,51.75,53.875,50.5,52.9375,741400
2000-02-15,53.0625,54.0625,51.9375,52.6875,711000
2000-02-16,53.0625,54.125,53.0,54.0,493300
2000-02-17,54.0,58.4375,54.0,57.0,575000
2000-02-18,56.375,56.6875,54.3125,54.5,487000
2000-02-22,54.5,55.25,54.25,54.5625,473400
2000-02-23,54.5625,54.9375,54.125,54.1875,467700
2000-02-24,54.1875,54.6875,52.5625,54.25,673400
2000-02-25,53.875,54.4375,53.3125,53.375,699900
2000-02-28,53.875,54.0,52.875,53.625,291900
2000-02-29,53.125,55.0,53.125,54.3125,486000
2000-03-01,54.3125,54.4375,51.75,53.4375,317000
2000-03-02,53.1875,53.375,51.125,51.5,353200
2000-03-03,51.5625,53.25,51.3125,52.1875,543900
2000-03-06,52.125,52.8125,52.125,52.3125,321400
2000-03-07,52.0625,53.625,50.25,50.4375,329400
2000-03-08,50.75,51.0,48.625,49.625,392600
2000-03-09,49.625,52.1875,49.1875,51.6875,583700
2000-03-10,51.9375,52.4375,49.5,50.0625,276400
2000-03-13,49.5,50.625,49.0,49.5625,388000
2000-03-14,49.8125,50.4375,48.875,48.875,409500
2000-03-15,49.125,56.375,49.125,54.0625,650600
2000-03-16,56.0,58.625,55.4375,58.4375,844400
2000-03-17,58.375,59.75,57.0,57.0625,581700
2000-03-20,57.1875,57.6875,55.125,56.875,486600
2000-03-21,56.875,61.9375,56.75,60.375,611700
2000-03-22,59.375,59.625,56.375,57.625,451700
2000-03-23,57.875,59.125,57.0,58.0,237600
2000-03-24,58.0,59.25,56.75,56.8125,301200
2000-03-27,56.875,58.1875,56.5,56.5,311300
2000-03-28,55.875,57.875,55.75,56.1875,240600
2000-03-29,55.9375,59.6875,55.75,58.9375,320500
2000-03-30,59.0625,62.0,59.0,59.6875,359800
2000-03-31,59.9375,60.5625,58.625,58.625,325300
2000-04-03,58.8125,61.3125,58.75,59.375,480700
2000-04-04,60.4375,64.0,59.9375,62.0625,563600
2000-04-05,61.5,63.125,60.5,60.625,315800
2000-04-06,60.375,61.9375,60.125,60.75,361400
2000-04-07,60.625,60.8125,59.1875,60.1875,202900
2000-04-10,60.125,62.0,60.0,61.5,229200
2000-04-11,61.75,62.9375,60.9375,61.3125,268900
2000-04-12,61.5625,64.5,61.5625,63.875,426600
2000-04-13,64.0,64.75,63.75,64.0,499100
2000-04-14,64.25,64.375,61.125,61.5,455900
2000-04-17,61.375,62.25,60.5625,61.0,298300
2000-04-18,61.0,61.0,59.375,60.1875,377700
2000-04-19,60.625,61.0,57.25,58.0625,662900
2000-04-20,58.0,62.9375,58.0,61.75,625200
2000-04-24,61.625,65.875,61.5625,64.125,518800
2000-04-25,65.125,67.4375,64.4375,66.625,701100
2000-04-26,66.5625,67.5625,65.25,66.25,657900
2000-04-27,64.5,65.6875,64.0625,64.375,503000
2000-04-28,64.625,66.875,64.5,65.125,545500
2000-05-01,66.4375,68.0,65.5625,67.0,476300
2000-05-02,67.0625,68.3125,65.9375,66.5,504000
2000-05-03,65.875,68.1875,65.875,67.25,509600
2000-05-04,67.125,67.8125,65.0,65.0,329300
2000-05-05,64.75,67.75,64.4375,66.8125,263500
2000-05-08,67.0625,67.1875,62.875,63.25,399300
2000-05-09,64.5,65.34375,62.5625,63.5,445100
2000-05-10,63.625,64.25,61.6875,61.875,298800
2000-05-11,62.25,66.125,62.125,65.6875,291500
2000-05-12,65.5625,65.6875,63.5,63.75,252400
2000-05-15,63.625,65.1875,63.1875,65.0625,304000
2000-05-16,64.6875,67.125,64.6875,65.125,321300
2000-05-17,64.5,64.75,62.625,63.0625,289400
2000-05-18,64.0,65.75,63.75,64.875,246400
2000-05-19,63.75,63.8125,61.625,61.9375,576800
2000-05-22,62.0,62.6875,60.625,61.125,352900
2000-05-23,61.375,62.9375,61.375,61.75,200300
2000-05-24,61.625,63.625,60.5,62.625,364400
2000-05-25,62.375,63.25,60.375,61.0,355600
2000-05-26,61.0,61.0,58.625,59.0,498200
2000-05-30,60.125,60.9375,59.3125,60.6875,337400
2000-05-31,60.0,60.75,56.6875,56.6875,516300
2000-06-01,56.9375,57.25,56.375,56.5625,666900
2000-06-02,57.0,61.125,56.875,59.75,378800
2000-06-05,59.75,60.4375,57.25,58.375,330500
2000-06-06,57.875,57.9375,54.5625,55.296875,926500
2000-06-07,55.8125,56.25,53.4375,53.9375,724900
2000-06-08,54.0625,55.125,54.0625,54.1875,186000
2000-06-09,54.875,55.375,53.6875,54.375,330500
2000-06-12,54.375,56.5,54.375,55.25,378100
2000-06-13,55.0,55.3125,53.3125,53.4375,900100
2000-06-14,53.5625,56.0,53.375,53.8125,450100
2000-06-15,53.8125,54.25,52.5,53.375,408500
2000-06-16,53.25,53.3125,50.6875,51.5,479100
2000-06-19,51.25,51.625,50.0,50.625,748800
2000-06-20,51.0,51.0,49.1875,49.5625,576300
2000-06-21,49.75,49.9375,48.5,48.625,437900
2000-06-22,48.75,51.625,48.6875,50.5625,601000
2000-06-23,50.5625,51.875,50.0,51.4375,361500
2000-06-26,51.4375,52.25,49.5,49.5,370100
2000-06-27,50.375,52.375,50.375,51.875,265600
2000-06-28,52.5,53.0625,50.875,51.359375,305800
2000-06-29,51.375,52.8125,50.875,50.875,421700
2000-06-30,49.25,51.375,46.609375,46.625,1455400
2000-07-03,47.25,50.9375,47.25,50.5,417100
2000-07-05,50.625,51.5625,49.875,49.9375,396900
2000-07-06,49.6875,51.625,49.6875,51.0,431600
2000-07-07,51.0,51.8125,50.0,50.5,247800
2000-07-10,50.6875,52.9375,50.6875,52.5625,278800
2000-07-11,52.0,53.75,52.0,53.6875,337000
2000-07-12,53.25,53.375,52.0,53.3125,543200
2000-07-13,53.25,54.0625,52.75,54.0625,480700
2000-07-14,53.875,53.9375,52.75,53.25,196400
2000-07-17,52.625,54.0625,52.0625,54.0625,354300
2000-07-18,49.5,50.9375,49.0625,49.375,1390100
2000-07-19,49.375,49.625,47.5,48.125,659300
2000-07-20,47.875,48.75,47.3125,48.0,729300
2000-07-21,47.625,48.125,47.25,47.6875,527900
2000-07-24,47.4375,48.75,46.6875,46.9375,548000
2000-07-25,44.875,44.9375,41.0,43.125,2039500
2000-07-26,43.25,43.8125,41.0,41.4375,1374700
2000-07-27,41.5,42.0625,40.0625,40.5,1368800
2000-07-28,40.75,41.3125,40.5625,40.875,990400
2000-07-31,40.75,43.875,40.75,43.1875,613300
2000-08-01,42.25,43.0625,42.1875,42.3125,468200
2000-08-02,42.0,42.8125,41.1875,41.1875,480300
2000-08-03,41.1875,41.5,40.375,40.75,533700
2000-08-04,41.0,41.25,39.9375,40.0625,898000
2000-08-07,40.375,42.75,40.25,42.25,623400
2000-08-08,41.25,43.875,41.25,42.625,782300
2000-08-09,42.75,43.4375,42.375,42.5,412400
2000-08-10,42.6875,43.6875,42.1875,42.375,379100
2000-08-11,42.375,43.4375,42.375,43.1875,310800
2000-08-14,45.9375,46.75,44.8125,45.5625,1001300
2000-08-15,45.5,45.875,44.625,45.0,454000
2000-08-16,45.0,45.4375,44.0,44.0,365100
2000-08-17,44.5,44.875,43.875,44.3125,282800
2000-08-18,44.8125,44.9375,43.625,43.625,355900
2000-08-21,43.875,44.125,43.3125,43.4375,322600
2000-08-22,43.875,45.0625,43.5,44.5,337400
2000-08-23,44.75,44.875,43.6875,43.75,281700
2000-08-24,44.5,45.625,43.875,43.9375,953900
2000-08-25,43.8125,43.875,42.625,42.8125,574700
2000-08-28,38.625,39.375,37.125,38.125,2865800
2000-08-29,38.25,38.5625,37.125,37.875,1419800
2000-08-30,33.0,38.375,32.0,38.0,2669900
2000-08-31,38.5625,38.75,37.0625,38.015625,1065600
2000-09-01,38.0,38.375,37.3125,37.6875,774000
2000-09-05,37.5,39.0,37.3125,38.4375,1252100
